,BILL NO.,DATE,PRODUCT NAME,IT group,BRAND,DESING,COLOR,SIZE,QTY.,RATE,DIS. AMT.,SALE AMT.,PURCH AMT.,PURCH PARTY,year,month,day,item_type
1209,G559,2019-05-24,M.CAPRI,M.CAPRI,MAPLE,C-108,ASTD,3XL,1.0,420.0,26.0,394.0,336.0,WELCOME HOSIERY,2019,5,24,male
1210,G559,2019-05-24,M.TSHIRT,M.TSHIRT,OBOLA,TSHIRT,ASTD,M-XXL,1.0,340.0,21.5,318.5,280.0,SHREE M.G. GARMENT,2019,5,24,male
1211,G560,2019-05-24,M.BOXER,M.BOXER,RUNBUDDY,5019,ASTD,M,1.0,300.0,18.75,281.25,261.45,SHREE AAIJI MARKETING,2019,5,24,male
1212,G560,2019-05-24,M.BOXER,M.BOXER,RUNBUDDY,5019,ASTD,M,-1.0,300.0,-18.75,-281.25,-261.45,SHREE AAIJI MARKETING,2019,5,24,male
1213,G561,2019-05-25,L.TRACKPANT,L.TRACKPANT,AQUAFIT,TRACK,ASTD,XL,1.0,600.0,37.5,562.5,493.76,M.G. GARMENT,2019,5,25,female
1214,G561,2019-05-25,L.BRIEF,L.BRIEF,C9,1103,ASTD,L,1.0,400.0,24.95,375.05,349.65,SHREE AAIJI MARKETING,2019,5,25,female
1215,G561,2019-05-25,L.TSHIRT,L.TSHIRT,NEVA,TWC173,ASTD,L,1.0,450.0,55.9,394.1,373.01,H.P.TRADERS,2019,5,25,female
1216,G561,2019-05-25,L.NIGHTSUIT,L.NIGHTSUIT,R.K,9287,ASTD,L,1.0,450.0,28.0,422.0,378.0,RADHA KRISHNA SALES,2019,5,25,female
1217,G562,2019-05-25,L.TSHIRT,L.TSHIRT,NEVA,VLC003,ASTD,L,1.0,260.0,32.4,227.6,216.33,H.P.TRADERS,2019,5,25,female
1218,G562,2019-05-25,L.TSHIRT,L.TSHIRT,NEVA,VLC003,ASTD,L,1.0,260.0,32.4,227.6,216.33,H.P.TRADERS,2019,5,25,female
1219,G562,2019-05-25,M.TSHIRT,M.TSHIRT,NEVA,8000,ASTD,S-XXL,1.0,340.0,42.9,297.1,286.01,MANAV CORPORATION,2019,5,25,male
1220,G562,2019-05-25,M.TSHIRT,M.TSHIRT,NEVA,VMC101,ASTD,XL,1.0,260.0,32.7,227.3,207.62,MANAV CORPORATION,2019,5,25,male
1221,G563,2019-05-25,L.CAPRI,L.CAPRI,M.G.,CAPRI,ASTD,XL,1.0,350.0,22.0,328.0,304.5,M.G. GARMENT,2019,5,25,female
1222,G564,2019-05-25,L.CAPRI,L.CAPRI,M.G.,CAPRI,ASTD,XL,-1.0,350.0,-22.0,-328.0,-304.5,M.G. GARMENT,2019,5,25,female
1223,G564,2019-05-25,L.NIGHTSUIT,L.NIGHTSUIT,R.K,928,ASTD,M,1.0,520.0,32.5,487.5,441.0,RADHA KRISHNA SALES,2019,5,25,female
1224,G565,2019-05-25,L.NIGHTSUIT,L.NIGHTSUIT,R.K,1306,ASTD,M,1.0,540.0,34.0,506.0,472.5,RADHA KRISHNA SALES,2019,5,25,female
1225,G566,2019-05-25,M.VEST,M.VEST,JOCKEY,8820,ASTD,M,1.0,130.0,7.95,122.05,120.91,AMI ENTERPRISE,2019,5,25,male
1226,G566,2019-05-25,M.VEST,M.VEST,JOCKEY,8820,ASTD,M,1.0,130.0,7.95,122.05,120.91,AMI ENTERPRISE,2019,5,25,male
1227,G566,2019-05-25,M.TRUNK,M.TRUNK,ZOIRO,TRUNK,ASTD,L,1.0,150.0,9.25,140.75,135.04,V3 ENTERPRISE,2019,5,25,male
1228,G566,2019-05-25,M.TRUNK,M.TRUNK,ZOIRO,TRUNK,ASTD,L,1.0,150.0,9.25,140.75,135.04,V3 ENTERPRISE,2019,5,25,male
1229,G567,2019-05-25,M.BRIEF,M.BRIEF,SAJANI,SL FANCY,ASTD,10,1.0,70.0,4.25,65.75,63.65,SANDIP HOSIERY INDUSTRIES,2019,5,25,male
1230,G567,2019-05-25,M.BRIEF,M.BRIEF,SAJANI,SL FANCY,ASTD,10,1.0,70.0,4.25,65.75,63.65,SANDIP HOSIERY INDUSTRIES,2019,5,25,male
1231,G568,2019-05-25,M.CAPRI,M.CAPRI,FREEDOM,CAPRI,ASTD,XL XXL,1.0,400.0,25.0,375.0,350.0,MARUTI HOSIERY,2019,5,25,male
1232,G569,2019-05-25,M.SHORT,M.SHORT,RUNBUDDY,6008,ASTD,XXL,1.0,520.0,32.45,487.55,453.6,SHREE AAIJI MARKETING,2019,5,25,male
1233,G569,2019-05-25,M.CAPRI,M.CAPRI,U.S.POLO,I635,ASTD,XL,-1.0,575.0,-70.1,-504.9,-506.32,VANKAWALA AGENCIES,2019,5,25,male
1234,G570,2019-05-25,M.BRIEF,M.BRIEF,AMUL MACHO,OE,ASTD,90,1.0,70.0,4.25,65.75,68.0,GAYATRI HOSIERY TRADERS,2019,5,25,male
1235,G570,2019-05-25,M.BRIEF,M.BRIEF,AMUL MACHO,OE,ASTD,90,1.0,70.0,4.25,65.75,68.0,GAYATRI HOSIERY TRADERS,2019,5,25,male
1236,G571,2019-05-25,PERFUME,PERFUME,KINGSWOOD,BODY SPRAY,-,-,1.0,160.0,0.0,160.0,99.18,CANTABIL,2019,5,25,other
1237,G572,2019-05-25,M.TSHIRT,M.TSHIRT,NEVA,VMC2000,ASTD,L,1.0,330.0,41.0,289.0,273.0,MANAV CORPORATION,2019,5,25,male
1238,G573,2019-05-25,M.TRUNK,M.TRUNK,JOCKEY,8037,ASTD,M,1.0,120.0,7.5,112.5,108.63,AMI ENTERPRISE,2019,5,25,male
1239,G573,2019-05-25,M.TRUNK,M.TRUNK,JOCKEY,8037,ASTD,M,1.0,120.0,7.5,112.5,108.63,AMI ENTERPRISE,2019,5,25,male
1240,G574,2019-05-25,PERFUME,PERFUME,KINGSWOOD,BODY SPRAY,-,-,1.0,160.0,0.0,160.0,99.18,CANTABIL,2019,5,25,other
1241,G574,2019-05-25,M.TSHIRT,M.TSHIRT,VANHEUSEN,60021,ASTD,L,1.0,370.0,22.95,347.05,321.3,HR FASHION,2019,5,25,male
1242,G575,2019-05-25,M.BRIEF,M.BRIEF,SAJANI,SL FANCY,ASTD,10,1.0,70.0,4.25,65.75,63.65,SANDIP HOSIERY INDUSTRIES,2019,5,25,male
1243,G576,2019-05-26,M.BOXER,M.BOXER,U.S.POLO,BOXER,ASTD,M,1.0,520.0,32.45,487.55,482.01,VANKAWALA AGENCIES,2019,5,26,male
1244,G577,2019-05-26,M.TRUNK,M.TRUNK,VANHEUSEN,0032,ASTD,XL,1.0,375.0,24.45,350.55,351.75,RIVA FASHION,2019,5,26,male
1245,G578,2019-05-26,M.CAPRI,M.CAPRI,MAPLE,KM1273,ASTD,XL,1.0,400.0,25.0,375.0,351.75,WELCOME HOSIERY,2019,5,26,male
1246,G579,2019-05-26,B.BRIEF,B.BRIEF,AMUL MACHO,BRIEF,ASTD,70,1.0,60.0,3.5,56.5,54.6,GAYATRI HOSIERY TRADERS,2019,5,26,boy
1247,G579,2019-05-26,B.BRIEF,B.BRIEF,AMUL MACHO,BRIEF,ASTD,70,1.0,60.0,3.5,56.5,54.6,GAYATRI HOSIERY TRADERS,2019,5,26,boy
1248,G580,2019-05-26,L.CAPRI,L.CAPRI,NEVA,ALC341,ASTD,M,1.0,360.0,44.9,315.1,299.33,H.P.TRADERS,2019,5,26,female
1249,G580,2019-05-26,L.TSHIRT,L.TSHIRT,SWEET DREAM,404,ASTD,M-L,1.0,360.0,22.45,337.55,323.26,OM MARKETING,2019,5,26,female
1250,G581,2019-05-26,M.BOXER,M.BOXER,U.S.POLO,BOXER,ASTD,S,1.0,520.0,32.45,487.55,482.01,VANKAWALA AGENCIES,2019,5,26,male
1251,G582,2019-05-26,G.NIGHTSUIT,G.NIGHTSUIT,DFL,5308,ASTD,14,1.0,610.0,38.0,572.0,475.0,DFL CLOTHING COMPANY,2019,5,26,girl
1252,G583,2019-05-26,M.TRUNK,M.TRUNK,EURO,LONG TRUNK,ASTD,S-XXL,-1.0,90.0,-5.75,-84.25,-91.0,MARUTI HOSIERY,2019,5,26,male
1253,G583,2019-05-26,M.TRUNK,M.TRUNK,EURO,LONG TRUNK,ASTD,S-XXL,-1.0,90.0,-5.75,-84.25,-91.0,MARUTI HOSIERY,2019,5,26,male
1254,G583,2019-05-26,M.TRUNK,M.TRUNK,JOCKEY,8008,ASTD,L,1.0,160.0,9.95,150.05,144.12,AMI ENTERPRISE,2019,5,26,male
1255,G583,2019-05-26,M.TRUNK,M.TRUNK,JOCKEY,8008,ASTD,L,1.0,160.0,9.95,150.05,144.12,AMI ENTERPRISE,2019,5,26,male
1256,G584,2019-05-26,B.NIGHTSUIT,B.NIGHTSUIT,COST,FULL,ASTD,10,1.0,350.0,22.0,328.0,325.5,M.G. GARMENT,2019,5,26,boy
1257,G585,2019-05-26,B.NIGHTSUIT,B.NIGHTSUIT,COST,CAPRI,ASTD,8,1.0,350.0,22.0,328.0,304.5,M.G. GARMENT,2019,5,26,boy
1258,G585,2019-05-26,L.TSHIRT,L.TSHIRT,FUTURE,TSHIRT,ASTD,XL,1.0,200.0,12.5,187.5,168.0,M.G. GARMENT,2019,5,26,female
1259,G585,2019-05-26,M.CAPRI,M.CAPRI,KANCHIRO,CAPRI-3,ASTD,L-XXL,1.0,630.0,39.5,590.5,522.5,SHREE M.G. GARMENT,2019,5,26,male
1260,G585,2019-05-26,L.TRACKPANT,L.TRACKPANT,NEVA,LWF022,ASTD,XL,1.0,535.0,66.9,468.1,446.01,H.P.TRADERS,2019,5,26,female
1261,G586,2019-05-26,M.TRUNK,M.TRUNK,AMUL MACHO,PLAIN,ASTD,85,1.0,80.0,5.25,74.75,88.0,GAYATRI HOSIERY TRADERS,2019,5,26,male
1262,G587,2019-05-26,M.VEST,M.VEST,JOCKEY,8820,ASTD,S,1.0,130.0,7.95,122.05,120.91,AMI ENTERPRISE,2019,5,26,male
1263,G587,2019-05-26,M.VEST,M.VEST,JOCKEY,8820,ASTD,S,1.0,130.0,7.95,122.05,120.91,AMI ENTERPRISE,2019,5,26,male
1264,G587,2019-05-26,SOCKS,SOCKS,SUPERSOX,SOCKS,ASTD,FREE,1.0,80.0,10.5,69.5,71.65,V3 ENTERPRISE,2019,5,26,other
1265,G587,2019-05-26,SOCKS,SOCKS,SUPERSOX,SOCKS,ASTD,FREE,1.0,80.0,10.5,69.5,71.65,V3 ENTERPRISE,2019,5,26,other
1266,G587,2019-05-26,M.TRUNK,M.TRUNK,ZOIRO,TRENTO,ASTD,M,1.0,190.0,12.0,178.0,166.85,V3 ENTERPRISE,2019,5,26,male
1267,G587,2019-05-26,M.TRUNK,M.TRUNK,ZOIRO,TRENTO,ASTD,M,1.0,190.0,12.0,178.0,166.85,V3 ENTERPRISE,2019,5,26,male
1268,G588,2019-05-26,M.TRUNK,M.TRUNK,AMUL MACHO,PLAIN,ASTD,85,1.0,80.0,5.25,74.75,88.0,GAYATRI HOSIERY TRADERS,2019,5,26,male
1269,G589,2019-05-27,PERFUME,PERFUME,KINGSWOOD,BODY SPRAY,-,-,1.0,160.0,0.0,160.0,99.18,CANTABIL,2019,5,27,other
1270,G590,2019-05-27,M.TSHIRT,M.TSHIRT,NEVA,VMC101,ASTD,M,1.0,250.0,31.5,218.5,199.68,MANAV CORPORATION,2019,5,27,male
1271,G591,2019-05-27,L.TSHIRT,L.TSHIRT,FUTURE,TSHIRT,ASTD,XL,1.0,200.0,12.5,187.5,168.0,M.G. GARMENT,2019,5,27,female
1272,G591,2019-05-27,L.TSHIRT,L.TSHIRT,FUTURE,TSHIRT,ASTD,XXL,1.0,220.0,13.75,206.25,178.5,M.G. GARMENT,2019,5,27,female
1273,G591,2019-05-27,M.BRIEF,M.BRIEF,JOCKEY,IC27,ASTD,XL,-1.0,350.0,-21.75,-328.25,-323.06,NETCOMM INFOSYS,2019,5,27,male
1274,G591,2019-05-27,M.TRUNK,M.TRUNK,JOCKEY,IC28,ASTD,XL,1.0,360.0,22.7,337.3,337.18,NETCOMM INFOSYS,2019,5,27,male
1275,G591,2019-05-27,L.CAPRI,L.CAPRI,SWEET DREAM,LLP8165,ASTD,XL,1.0,500.0,31.45,468.55,452.87,OM MARKETING,2019,5,27,female
1276,G592,2019-05-27,M.CAPRI,M.CAPRI,REMINES,CAPRI,ASTD,L-XXL,1.0,480.0,30.0,450.0,428.93,M.G. GARMENT,2019,5,27,male
1277,G593,2019-05-27,M.BOXER,M.BOXER,VANHEUSEN,BOXER,ASTD,S,1.0,380.0,23.95,356.05,342.14,RIVA FASHION,2019,5,27,male
1278,G594,2019-05-27,SWIM WEAR,SWIM WEAR,SWIM,S CAP,ASTD,-,1.0,60.0,0.0,60.0,47.0,BABA TRADERES,2019,5,27,other
1279,G595,2019-05-27,SWIM WEAR,SWIM WEAR,SWIM,KT-222,ASTD,XL,1.0,220.0,0.0,220.0,176.0,BABA TRADERES,2019,5,27,other
1280,G595,2019-05-27,L.SHORT,L.SHORT,ZOOM,SHORT,ASTD,40,1.0,140.0,8.75,131.25,122.85,SHREE AAIJI MARKETING,2019,5,27,female
1281,G596,2019-05-27,SOCKS,SOCKS,SUPERSOX,SOCKS,ASTD,FREE,1.0,90.0,11.5,78.5,78.49,V3 ENTERPRISE,2019,5,27,other
1282,G596,2019-05-27,SOCKS,SOCKS,SUPERSOX,ANKLE,ASTD,FREE,1.0,90.0,11.0,79.0,71.49,V3 ENTERPRISE,2019,5,27,other
1283,G597,2019-05-27,M.BOXER,M.BOXER,MAPLE,BOXER,ASTD,-,1.0,160.0,10.0,150.0,141.75,WELCOME HOSIERY,2019,5,27,male
1284,G598,2019-05-28,M.TSHIRT,M.TSHIRT,NEVA,VMC101,ASTD,L,1.0,314.0,314.06,-0.06,209.66,MANAV CORPORATION,2019,5,28,male
1285,G598,2019-05-28,M.BOXER,M.BOXER,U.S.POLO,BOXER,ASTD,L,1.0,649.0,649.13,-0.13,482.01,VANKAWALA AGENCIES,2019,5,28,male
1286,G598,2019-05-28,M.TSHIRT,M.TSHIRT,UCB,666,ASTD,L,1.0,549.0,549.11,-0.11,376.46,SK ENTERPRISE,2019,5,28,male
1287,G599,2019-05-28,M.CAPRI,M.CAPRI,KANCHIRO,CAPRI-2,ASTD,L-XXL,1.0,640.0,40.0,600.0,551.0,SHREE M.G. GARMENT,2019,5,28,male
1288,G599,2019-05-28,M.CAPRI,M.CAPRI,KANCHIRO,CAPRI-4,ASTD,L-XXL,1.0,600.0,37.5,562.5,470.25,SHREE M.G. GARMENT,2019,5,28,male
1289,G599,2019-05-28,M.TSHIRT,M.TSHIRT,NEVA,VMC101,ASTD,XL,1.0,260.0,32.7,227.3,218.0,MANAV CORPORATION,2019,5,28,male
1290,G600,2019-05-28,M.TSHIRT,M.TSHIRT,OBOLA,TSHIRT,ASTD,M-XXL,1.0,340.0,21.5,318.5,280.0,SHREE M.G. GARMENT,2019,5,28,male
1291,G600,2019-05-28,M.CAPRI,M.CAPRI,REMINES,CAPRI,ASTD,L-XXL,1.0,520.0,32.5,487.5,428.93,M.G. GARMENT,2019,5,28,male
1292,G601,2019-05-28,L.NIGHTSUIT,L.NIGHTSUIT,R.K,928,ASTD,M,1.0,520.0,32.5,487.5,441.0,RADHA KRISHNA SALES,2019,5,28,female
1293,G602,2019-05-28,M.BRIEF,M.BRIEF,AMUL MACHO,OE,ASTD,85,1.0,70.0,4.25,65.75,68.0,GAYATRI HOSIERY TRADERS,2019,5,28,male
1294,G602,2019-05-28,M.BRIEF,M.BRIEF,AMUL MACHO,OE,ASTD,85,1.0,70.0,4.25,65.75,68.0,GAYATRI HOSIERY TRADERS,2019,5,28,male
1295,G603,2019-05-28,M.BRIEF,M.BRIEF,SAJANI,SL FANCY,ASTD,90,1.0,60.0,4.0,56.0,57.0,SANDIP HOSIERY INDUSTRIES,2019,5,28,male
1296,G603,2019-05-28,M.TRUNK,M.TRUNK,SAJANI,SLCD,ASTD,90,1.0,80.0,5.25,74.75,73.15,SANDIP HOSIERY INDUSTRIES,2019,5,28,male
1297,G604,2019-05-28,M.TRACKPANT,M.TRACKPANT,RUNBUDDY,5008,ASTD,L,1.0,640.0,39.95,600.05,557.55,SHREE AAIJI MARKETING,2019,5,28,male
1298,G605,2019-05-28,M.BRIEF,M.BRIEF,AMUL MACHO,P.M.TRUNK,ASTD,85,1.0,80.0,5.0,75.0,84.0,GAYATRI HOSIERY TRADERS,2019,5,28,male
1299,G606,2019-05-28,M.VEST,M.VEST,AMUL MACHO,VEST RN,ASTD,95,1.0,80.0,5.25,74.75,79.0,GAYATRI HOSIERY TRADERS,2019,5,28,male
1300,G606,2019-05-28,M.VEST,M.VEST,AMUL MACHO,VEST RN,ASTD,95,1.0,80.0,5.25,74.75,79.0,GAYATRI HOSIERY TRADERS,2019,5,28,male
1301,G607,2019-05-28,M.BOXER,M.BOXER,U.S.POLO,BOXER,ASTD,XL,1.0,560.0,34.95,525.05,519.15,VANKAWALA AGENCIES,2019,5,28,male
1302,G608,2019-05-28,M.TRACKPANT,M.TRACKPANT,KANCHIRO,TRACK,ASTD,L-XXL,1.0,680.0,42.5,637.5,668.33,M.G. GARMENT,2019,5,28,male
1303,G608,2019-05-28,M.TRACKPANT,M.TRACKPANT,KANCHIRO,TRACK,ASTD,L-XXL,-1.0,680.0,-42.5,-637.5,-668.33,M.G. GARMENT,2019,5,28,male
1304,G609,2019-05-28,M.BRIEF,M.BRIEF,AMUL MACHO,P.M.TRUNK,ASTD,85,1.0,80.0,5.0,75.0,84.0,GAYATRI HOSIERY TRADERS,2019,5,28,male
1305,G609,2019-05-28,M.BRIEF,M.BRIEF,AMUL MACHO,P.M.TRUNK,ASTD,85,1.0,80.0,5.0,75.0,84.0,GAYATRI HOSIERY TRADERS,2019,5,28,male
1306,G609,2019-05-28,M.VEST,M.VEST,AMUL MACHO,VEST RN,ASTD,85,1.0,70.0,4.5,65.5,70.0,GAYATRI HOSIERY TRADERS,2019,5,28,male
1307,G609,2019-05-28,M.VEST,M.VEST,SAJANI,RNS,ASTD,85,1.0,80.0,5.25,74.75,80.76,SANDIP HOSIERY INDUSTRIES,2019,5,28,male
1308,G610,2019-05-28,M.BRIEF,M.BRIEF,AMUL MACHO,OE,ASTD,85,1.0,70.0,4.25,65.75,68.0,GAYATRI HOSIERY TRADERS,2019,5,28,male
1309,G610,2019-05-28,M.BRIEF,M.BRIEF,AMUL MACHO,OE,ASTD,85,1.0,70.0,4.25,65.75,68.0,GAYATRI HOSIERY TRADERS,2019,5,28,male
1310,G610,2019-05-28,M.TRACKPANT,M.TRACKPANT,KILL WILL,TRACK,ASTD,L-XXL,1.0,440.0,27.5,412.5,441.0,M.G. GARMENT,2019,5,28,male
1311,G611,2019-05-29,B.BRIEF,B.BRIEF,AMUL MACHO,BRIEF,ASTD,75,1.0,60.0,4.0,56.0,60.9,GAYATRI HOSIERY TRADERS,2019,5,29,boy
1312,G612,2019-05-29,M.TRACKPANT,M.TRACKPANT,HOSIERY,TRACK,ASTD,XL,1.0,380.0,24.0,356.0,294.0,WELCOME HOSIERY,2019,5,29,male
1313,G612,2019-05-29,HANKY,HANKY,ROYAL TOUCH,1PC25,-,-,0.6,200.0,0.0,120.0,104.4,SURESH ENTERPRISE,2019,5,29,other
1314,G612,2019-05-29,M.CAPRI,M.CAPRI,RUNBUDDY,700,ASTD,XL,1.0,480.0,29.95,450.05,417.9,SHREE AAIJI MARKETING,2019,5,29,male
1315,G612,2019-05-29,M.TRUNK,M.TRUNK,ZOIRO,TRENTO,ASTD,L,1.0,190.0,12.0,178.0,175.19,V3 ENTERPRISE,2019,5,29,male
1316,G612,2019-05-29,M.TRUNK,M.TRUNK,ZOIRO,TRENTO,ASTD,L,1.0,190.0,12.0,178.0,175.19,V3 ENTERPRISE,2019,5,29,male
1317,G613,2019-05-29,G.NIGHTSUIT,G.NIGHTSUIT,NAVKAR,-,ASTD,06,1.0,430.0,27.0,403.0,350.0,NAVKAR GARMENTS,2019,5,29,girl
1318,G614,2019-05-29,M.TSHIRT,M.TSHIRT,NEVA,VMC101,ASTD,L,1.0,250.0,31.5,218.5,199.68,MANAV CORPORATION,2019,5,29,male
1319,G615,2019-05-29,M.TSHIRT,M.TSHIRT,NEVA,VMC2000,ASTD,XL,1.0,340.0,42.2,297.8,283.01,MANAV CORPORATION,2019,5,29,male
1320,G616,2019-05-29,L.BRIEF,L.BRIEF,C9,1103,ASTD,XL,1.0,400.0,24.95,375.05,333.0,SHREE AAIJI MARKETING,2019,5,29,female
1321,G616,2019-05-29,M.VEST,M.VEST,FRENCHIE,ELITE,ASTD,95,1.0,90.0,5.9,84.1,81.9,GAYATRI SALES,2019,5,29,male
1322,G616,2019-05-29,M.VEST,M.VEST,FRENCHIE,ELITE,ASTD,95,1.0,90.0,5.9,84.1,81.9,GAYATRI SALES,2019,5,29,male
1323,G616,2019-05-29,G.NIGHTSUIT,G.NIGHTSUIT,NAVKAR,-,ASTD,04,1.0,430.0,0.0,430.0,350.0,NAVKAR GARMENTS,2019,5,29,girl
1324,G616,2019-05-29,L.BRA,L.BRA,SHERRY,888,ASTD,36,1.0,270.0,16.75,253.25,234.51,PARUL HOSIERY,2019,5,29,female
1325,G616,2019-05-29,L.BRA,L.BRA,SHERRY,888,ASTD,36,1.0,270.0,16.75,253.25,223.34,PARUL HOSIERY,2019,5,29,female
1326,G616,2019-05-29,M.BRIEF,M.BRIEF,VANHEUSEN,0004,ASTD,L,1.0,160.0,9.95,150.05,149.25,RIVA FASHION,2019,5,29,male
1327,G616,2019-05-29,M.BRIEF,M.BRIEF,VANHEUSEN,0004,ASTD,L,1.0,160.0,9.95,150.05,149.25,RIVA FASHION,2019,5,29,male
1328,G617,2019-05-29,L.BRA,L.BRA,LAIKA,LITTLE,ASTD,36,1.0,210.0,13.0,197.0,163.0,OM MARKETING,2019,5,29,female
1329,G617,2019-05-29,M.BRIEF,M.BRIEF,VANHEUSEN,0004,ASTD,L,1.0,160.0,9.95,150.05,149.25,RIVA FASHION,2019,5,29,male
1330,G618,2019-05-29,G.NIGHTSUIT,G.NIGHTSUIT,DFL,5356,ASTD,14,1.0,620.0,39.0,581.0,485.0,DFL CLOTHING COMPANY,2019,5,29,girl
1331,G619,2019-05-29,G.NIGHTSUIT,G.NIGHTSUIT,DFL,5356,ASTD,08,1.0,580.0,36.5,543.5,455.0,DFL CLOTHING COMPANY,2019,5,29,girl
1332,G620,2019-05-29,SOCKS,SOCKS,NOVELTY,SOCKS,ASTD,FREE,1.0,40.0,0.0,40.0,32.0,MARUTI HOSIERY,2019,5,29,other
1333,G620,2019-05-29,SOCKS,SOCKS,NOVELTY,SOCKS,ASTD,FREE,1.0,40.0,0.0,40.0,32.0,MARUTI HOSIERY,2019,5,29,other
1334,G620,2019-05-29,SOCKS,SOCKS,NOVELTY,SOCKS,ASTD,FREE,1.0,40.0,0.0,40.0,32.5,MARUTI HOSIERY,2019,5,29,other
1335,G620,2019-05-29,SOCKS,SOCKS,NOVELTY,SOCKS,ASTD,FREE,1.0,40.0,0.0,40.0,34.0,MARUTI HOSIERY,2019,5,29,other
1336,G621,2019-05-29,M.BRIEF,M.BRIEF,ZOIRO,SOFT CL,ASTD,L,1.0,120.0,7.75,112.25,107.41,V3 ENTERPRISE,2019,5,29,male
1337,G621,2019-05-29,M.BRIEF,M.BRIEF,ZOIRO,SOFT CL,ASTD,L,1.0,120.0,7.75,112.25,107.41,V3 ENTERPRISE,2019,5,29,male
1338,G622,2019-05-29,M.TRACKPANT,M.TRACKPANT,KILL WILL,TRACK,ASTD,XXL,1.0,330.0,20.5,309.5,283.5,M.G. GARMENT,2019,5,29,male
1339,G623,2019-05-29,BELT,BELT,-,B600,-,-,1.0,400.0,48.95,351.05,255.0,BABA TRADERES,2019,5,29,other
1340,G624,2019-05-30,L.TSHIRT,L.TSHIRT,FORMAL GIRL,TSHIRT,ASTD,XL,1.0,260.0,16.5,243.5,225.75,M.G. GARMENT,2019,5,30,female
1341,G624,2019-05-30,M.CAPRI,M.CAPRI,KANCHIRO,CAPRI,ASTD,L-XXL,-1.0,600.0,-37.5,-562.5,-523.69,M.G. GARMENT,2019,5,30,male
1342,G624,2019-05-30,L.SHORT,L.SHORT,SWEET DREAM,1137,ASTD,M,1.0,240.0,14.95,225.05,215.27,OM MARKETING,2019,5,30,female
1343,G625,2019-05-30,M.CAPRI,M.CAPRI,KANCHIRO,CAPRI,ASTD,L-XXL,1.0,600.0,37.5,562.5,538.65,M.G. GARMENT,2019,5,30,male
1344,G625,2019-05-30,M.TSHIRT,M.TSHIRT,NEVA,VMC101,ASTD,M,1.0,250.0,31.4,218.6,209.66,MANAV CORPORATION,2019,5,30,male
1345,G626,2019-05-30,L.TSHIRT,L.TSHIRT,FORMAL GIRL,TSHIRT,ASTD,XL,-1.0,260.0,-16.5,-243.5,-225.75,M.G. GARMENT,2019,5,30,female
1346,G626,2019-05-30,L.SHORT,L.SHORT,SWEET DREAM,1137,ASTD,M,1.0,240.0,14.95,225.05,215.27,OM MARKETING,2019,5,30,female
1347,G627,2019-05-30,M.TRUNK,M.TRUNK,EURO,TRUNK,ASTD,S-XXL,1.0,80.0,5.25,74.75,82.0,MARUTI HOSIERY,2019,5,30,male
1348,G628,2019-05-30,L.BRA,L.BRA,FLORET,JIYA,ASTD,34,1.0,180.0,11.45,168.55,153.0,SHREE AAIJI MARKETING,2019,5,30,female
1349,G629,2019-05-31,M.VEST,M.VEST,AMUL MACHO,RN,ASTD,85,1.0,70.0,4.5,65.5,70.0,GAYATRI HOSIERY TRADERS,2019,5,31,male
1350,G629,2019-05-31,M.VEST,M.VEST,AMUL MACHO,RN,ASTD,85,1.0,70.0,4.5,65.5,70.0,GAYATRI HOSIERY TRADERS,2019,5,31,male
1351,G630,2019-05-31,M.BRIEF,M.BRIEF,AMUL MACHO,OE,ASTD,80,1.0,70.0,4.25,65.75,67.0,GAYATRI HOSIERY TRADERS,2019,5,31,male
1352,G630,2019-05-31,M.BRIEF,M.BRIEF,AMUL MACHO,OE,ASTD,80,1.0,70.0,4.25,65.75,67.0,GAYATRI HOSIERY TRADERS,2019,5,31,male
1353,G630,2019-05-31,M.BRIEF,M.BRIEF,AMUL MACHO,OE,ASTD,95,1.0,80.0,4.75,75.25,73.0,GAYATRI HOSIERY TRADERS,2019,5,31,male
1354,G630,2019-05-31,M.BRIEF,M.BRIEF,AMUL MACHO,OE,ASTD,95,1.0,80.0,4.75,75.25,73.0,GAYATRI HOSIERY TRADERS,2019,5,31,male
1355,G631,2019-05-31,PERFUME,PERFUME,RAMSONS,POCKET,-,-,1.0,50.0,0.0,50.0,40.51,SHREE GAYATRI SALES AGENCY,2019,5,31,other
1356,G631,2019-05-31,PERFUME,PERFUME,RAMSONS,POCKET,-,-,1.0,50.0,0.0,50.0,40.51,SHREE GAYATRI SALES AGENCY,2019,5,31,other
1357,G632,2019-05-31,PERFUME,PERFUME,FOGG,BODY SPRAY,-,-,1.0,150.0,0.0,150.0,145.0,SHIVAM ENTERPRISE,2019,5,31,other
1358,G632,2019-05-31,M.TRUNK,M.TRUNK,JOCKEY,IC28,ASTD,L,1.0,380.0,23.95,356.05,355.74,NETCOMM INFOSYS,2019,5,31,male
1359,G632,2019-05-31,M.TRUNK,M.TRUNK,JOCKEY,IC28,ASTD,XL,1.0,390.0,24.25,365.75,360.19,NETCOMM INFOSYS,2019,5,31,male
1360,G633,2019-05-31,G.NIGHTSUIT,G.NIGHTSUIT,COST,CAPRI,ASTD,14,1.0,380.0,24.0,356.0,346.5,M.G. GARMENT,2019,5,31,girl
